dataset,base_dataset,subdataset,fraction,model1,model2,model1_value,model2_value,delta,comparison,task_type,seq_len
psmnist,psmnist,,0.1,lmu,best,0.9154000282287598,0.9154000282287598,0.0,best_model,multiclass,784
psmnist,psmnist,,0.25,lmu,s4,0.9413999915122986,0.8758000135421753,0.06559997797012329,lmu_vs_s4,multiclass,784
psmnist,psmnist,,0.25,lmu,mamba,0.9413999915122986,0.46299999952316284,0.47839999198913574,lmu_vs_mamba,multiclass,784
psmnist,psmnist,,0.25,mamba,s4,0.46299999952316284,0.8758000135421753,-0.41280001401901245,mamba_vs_s4,multiclass,784
psmnist,psmnist,,0.25,lmu,best,0.9413999915122986,0.9413999915122986,0.0,best_model,multiclass,784
psmnist,psmnist,,0.5,lmu,s4,0.9474999904632568,0.9200000166893005,0.0274999737739563,lmu_vs_s4,multiclass,784
psmnist,psmnist,,0.5,lmu,mamba,0.9474999904632568,0.6349999904632568,0.3125,lmu_vs_mamba,multiclass,784
psmnist,psmnist,,0.5,mamba,s4,0.6349999904632568,0.9200000166893005,-0.2850000262260437,mamba_vs_s4,multiclass,784
psmnist,psmnist,,0.5,lmu,best,0.9474999904632568,0.9474999904632568,0.0,best_model,multiclass,784
psmnist,psmnist,,1.0,lmu,s4,0.9624000191688538,0.9704999923706055,-0.008099973201751709,lmu_vs_s4,multiclass,784
psmnist,psmnist,,1.0,lmu,mamba,0.9624000191688538,0.8938000202178955,0.06859999895095825,lmu_vs_mamba,multiclass,784
psmnist,psmnist,,1.0,mamba,s4,0.8938000202178955,0.9704999923706055,-0.07669997215270996,mamba_vs_s4,multiclass,784
psmnist,psmnist,,1.0,s4,best,0.9704999923706055,0.9704999923706055,0.0,best_model,multiclass,784
qqp,qqp,,0.1,lmu,s4,0.6033831747470171,0.5853715260281406,0.018011648718876505,lmu_vs_s4,binary,129
qqp,qqp,,0.1,lmu,mamba,0.6033831747470171,0.0014594666312856574,0.6019237081157314,lmu_vs_mamba,binary,129
qqp,qqp,,0.1,mamba,s4,0.0014594666312856574,0.5853715260281406,-0.5839120593968549,mamba_vs_s4,binary,129
qqp,qqp,,0.1,lmu,best,0.6033831747470171,0.6033831747470171,0.0,best_model,binary,129
qqp,qqp,,0.25,lmu,s4,0.6336134453781512,0.6629857422421023,-0.029372296863951042,lmu_vs_s4,binary,129
